Round,Track,1st Place,1st Place(%),2nd Place,2nd Place(%),3rd Place,3rd Place(%),4th Place,4th Place(%),5th Place,5th Place(%)
1,Australia,Lando Norris,24.0,Kimi Antonelli,16.1,Oscar Piastri,11.3,Alexander Albon,10.9,Max Verstappen,9.0
2,China,Kimi Antonelli,20.7,Oscar Piastri,15.6,Oliver Bearman,12.9,Charles Leclerc,8.4,Max Verstappen,6.5
3,Japan,Yuki Tsunoda,23.7,Max Verstappen,19.7,Kimi Antonelli,13.6,Oscar Piastri,7.9,Isack Hadjar,7.0
4,Bahrain,Lewis Hamilton,29.6,Oscar Piastri,14.1,Charles Leclerc,7.8,Lando Norris,6.7,Pierre Gasly,6.5
5,Saudi Arabia,Max Verstappen,23.3,Charles Leclerc,16.3,Lando Norris,15.1,Oscar Piastri,13.8,Carlos Sainz,5.5
6,Miami,Oscar Piastri,20.7,Alexander Albon,19.0,Lando Norris,14.2,Max Verstappen,9.3,Lewis Hamilton,8.7
7,Emilia Romagna,Max Verstappen,19.0,Alexander Albon,14.9,Charles Leclerc,11.0,Lewis Hamilton,9.5,Oscar Piastri,9.3
8,Monaco,Charles Leclerc,20.1,Isack Hadjar,16.8,Lando Norris,14.6,Max Verstappen,7.0,Lewis Hamilton,6.2
9,Spain,Max Verstappen,19.7,Oscar Piastri,14.5,Nico Hulkenberg,10.6,Charles Leclerc,9.6,Lando Norris,9.3
10,Canada,Kimi Antonelli,27.3,George Russell,11.7,Max Verstappen,11.1,Lando Norris,9.3,Nico Hulkenberg,6.7
11,Austria,Gabriel Bortoleto,30.0,Lando Norris,15.7,Oscar Piastri,10.7,Liam Lawson,6.8,Charles Leclerc,6.7
12,Great Britain,Nico Hulkenberg,49.0,Lewis Hamilton,11.5,Lando Norris,8.6,Max Verstappen,5.9,Lance Stroll,5.8
13,Belgium,Lewis Hamilton,38.8,Oscar Piastri,10.6,Charles Leclerc,9.6,Lando Norris,6.7,Alexander Albon,6.3
14,Hungary,Gabriel Bortoleto,18.8,Fernando Alonso,18.3,Charles Leclerc,15.2,Lando Norris,9.8,Oscar Piastri,7.7
15,Netherlands,Isack Hadjar,38.6,Max Verstappen,8.7,Charles Leclerc,8.1,Oscar Piastri,6.8,Lando Norris,5.9
16,Italy,Max Verstappen,29.4,Lewis Hamilton,17.0,Charles Leclerc,10.0,Lando Norris,8.0,Alexander Albon,5.7
17,Azerbaijan,Carlos Sainz,28.6,Max Verstappen,18.5,George Russell,8.3,Lewis Hamilton,8.3,Liam Lawson,7.4
18,Singapore,Fernando Alonso,22.5,George Russell,16.4,Max Verstappen,14.5,Lando Norris,8.7,Lewis Hamilton,7.6
19,United States,Charles Leclerc,35.0,Max Verstappen,18.2,Lando Norris,8.9,Lewis Hamilton,7.8,Yuki Tsunoda,6.0
20,Mexico,Oliver Bearman,41.3,Max Verstappen,14.5,Lando Norris,11.2,Lewis Hamilton,6.6,Charles Leclerc,6.5
21,Brazil,Max Verstappen,56.7,Kimi Antonelli,10.0,Lando Norris,8.5,Oliver Bearman,6.2,Oscar Piastri,3.8
22,Las Vegas,Max Verstappen,26.2,Kimi Antonelli,16.4,Lewis Hamilton,14.5,Charles Leclerc,13.5,Lando Norris,7.5
23,Qatar,Max Verstappen,31.2,Carlos Sainz,30.0,Oscar Piastri,10.2,Kimi Antonelli,6.7,Lando Norris,5.6
24,Abu Dhabi,Max Verstappen,19.0,Lando Norris,16.3,Lewis Hamilton,13.4,Charles Leclerc,12.2,Yuki Tsunoda,11.3
