Country,City,Circuit Name,Race Date,First Grand Prix,Number of Laps,Circuit Length(km),Race Distance(km),Lap Record,Record Owner,Record Year,Turns,DRS Zones
Austria,Spielberg,Red Bull Ring,5-12 Jul 2020,1970,71,4.318,306.452,1:05.619,Carlos Sainz,2020,10,3
Hungary,Budapest,Hungaroring,19 Jul 2020,1986,70,4.381,306.63,1:17.103,Max Verstappen,2019,14,2
Great Britain,Silverstone,Silverstone Circuit,2-9 Aug 2020,1950,52,5.891,306.198,1:27.097,Max Verstappen,2020,18,2
Spain,Catalunya,Circuit de Barcelona-Catalunya,16 Aug 2020,1991,66,4.655,307.104,1:18.183,Valtteri Bottas,2020,16,2
Belgium,Spa-Francorchamps,Circuit de Spa-Francorchamps,30 Aug 2020,1950,44,7.004,308.052,1:46.286,Valtteri Bottas,2018,19,2
Italy,Monza,Autodromo Nazionale Monza,6 Sep 2020,1950,53,5.793,306.72,1:21.046,Rubens Barrichello,2004,11,2
Italy,Tuscany,Mugello,13 Sep 2020,2020,59,5.245,309.497,1:18.833,Lewis Hamilton,2020,15,1
Russia,Sochi,Sochi Autodrom,27 Sep 2020,2014,53,5.848,309.745,1:35.761,Lewis Hamilton,2019,18,2
Germany,Nurburg,Nurburgring,11 Oct 2020,1951,60,5.148,308.617,1:28.139,Max Verstappen,2020,15,2
Portugal,Portimao,Autodromo Internacional do Algarve,25 Oct 2020,2020,66,4.653,306.826,1:18.750,Lewis Hamilton,2020,15,1
Italy,Imola,Autodromo Enzo e Dino Ferrari,1 Nov 2020,1980,63,4.909,309.049,1:15.484,Lewis Hamilton,2020,19,1
Turkey,Istanbul,Intercity Istanbul Park,15 Nov 2020,2005,58,5.338,309.396,1:24.770,Juan Pablo Montoya,2005,14,2
Bahrain,Sakhir,Bahrain International Circuit,29 Nov 2020,2004,57,5.412,308.238,1:31.447,Pedro de la Rosa,2005,15,3
Bahrain,Sakhir,Bahrain International Circuit - Outer Track,6 Dec 2020,2020,87,3.543,307.995,0:55.404,George Russell,2020,11,2
Abu Dhabi,Yas Island,Yas Marina Circuit,13 Dec 2020,2009,55,5.554,305.355,1:39.283,Lewis Hamilton,2019,21,2
