Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,+1 Pt,Fastest Lap
Bahrain,1,44,Lewis Hamilton,Mercedes,2,56,1:32:03.897,25,No,1:34.015
Bahrain,2,33,Max Verstappen,Red Bull Racing Honda,1,56,+0.745,18,No,1:33.228
Bahrain,3,77,Valtteri Bottas,Mercedes,3,56,+37.383,16,Yes,1:32.090
Bahrain,4,4,Lando Norris,McLaren Mercedes,7,56,+46.466,12,No,1:34.396
Bahrain,5,11,Sergio Perez,Red Bull Racing Honda,11,56,+52.047,10,No,1:33.970
Bahrain,6,16,Charles Leclerc,Ferrari,4,56,+59.090,8,No,1:34.988
Bahrain,7,3,Daniel Ricciardo,McLaren Mercedes,6,56,+66.004,6,No,1:34.932
Bahrain,8,55,Carlos Sainz,Ferrari,8,56,+67.100,4,No,1:34.509
Bahrain,9,22,Yuki Tsunoda,AlphaTauri Honda,13,56,+85.692,2,No,1:34.761
Bahrain,10,18,Lance Stroll,Aston Martin Mercedes,10,56,+86.713,1,No,1:34.865
Bahrain,11,7,Kimi Raikkönen,Alfa Romeo Racing Ferrari,14,56,+88.864,0,No,1:35.192
Bahrain,12,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,12,55,+1 lap,0,No,1:35.122
Bahrain,13,31,Esteban Ocon,Alpine Renault,16,55,+1 lap,0,No,1:35.250
Bahrain,14,63,George Russell,Williams Mercedes,15,55,+1 lap,0,No,1:35.036
Bahrain,15,5,Sebastian Vettel,Aston Martin Mercedes,20,55,+1 lap,0,No,1:35.566
Bahrain,16,47,Mick Schumacher,Haas Ferrari,18,55,+1 lap,0,No,1:36.134
Bahrain,17,10,Pierre Gasly,AlphaTauri Honda,5,52,DNF,0,No,1:34.090
Bahrain,18,6,Nicholas Latifi,Williams Mercedes,17,51,DNF,0,No,1:36.602
Bahrain,NC,14,Fernando Alonso,Alpine Renault,9,32,DNF,0,No,1:36.063
Bahrain,NC,9,Nikita Mazepin,Haas Ferrari,19,0,DNF,0,No,N/A
